transport_type,distance_km,electricity_kwh,diet_type,waste_kg,flights_per_year,transport_co2,electricity_co2,diet_co2,waste_co2,flight_co2,total_co2_kg
car_electric,19.09,97.99,meat_heavy,19.76,2,28.63,80.35,300,9.88,42.5,494.11
train,70.5,278.14,meat_heavy,29.29,1,63.45,228.08,300,14.65,21.25,580.32
train,58.97,172.85,meat_light,30.74,6,53.07,141.74,200,15.37,127.5,502.47
bus,8.33,224.57,vegetarian,32.94,0,10.0,184.15,100,16.47,0.0,316.66
car_petrol,7.7,120.8,meat_light,27.55,4,48.53,99.06,200,13.77,85.0,426.87
car_electric,23.31,172.49,meat_heavy,21.91,2,34.97,141.44,300,10.95,42.5,506.83
car_petrol,12.1,176.11,meat_light,14.07,0,76.25,144.41,200,7.03,0.0,450.73
car_diesel,14.15,103.28,meat_light,34.82,0,72.17,84.69,200,17.41,0.0,368.37
train,61.68,53.81,meat_light,5.48,4,55.51,44.12,200,2.74,85.0,372.94
motorcycle,39.74,96.84,meat_light,22.0,0,131.13,79.41,200,11.0,0.0,422.23
bus,52.23,43.91,vegetarian,17.59,3,62.67,36.01,100,8.8,63.75,256.95
motorcycle,5.18,141.32,pescatarian,32.34,0,17.1,115.89,150,16.17,0.0,316.01
bus,31.63,170.33,vegan,18.97,0,37.96,139.67,50,9.49,0.0,252.13
car_diesel,7.97,202.72,meat_light,7.65,2,40.66,166.23,200,3.82,42.5,481.86
bus,5.72,143.01,vegetarian,21.71,0,6.86,117.26,100,10.86,0.0,237.37
car_petrol,3.74,85.94,meat_light,12.18,2,23.53,70.47,200,6.09,42.5,356.92
car_diesel,7.04,136.62,meat_heavy,22.26,0,35.88,112.03,300,11.13,0.0,454.66
train,22.15,183.48,meat_light,4.9,0,19.93,150.46,200,2.45,0.0,343.68
motorcycle,3.53,82.89,meat_light,25.14,0,11.66,67.97,200,12.57,0.0,294.47
car_petrol,0.58,176.25,vegan,14.0,0,3.68,144.52,50,7.0,0.0,205.49
motorcycle,75.7,90.69,pescatarian,37.93,4,249.8,74.36,150,18.96,85.0,587.64
bus,6.6,115.69,vegetarian,5.16,3,7.92,94.87,100,2.58,63.75,248.77
cycle,3.78,169.97,vegetarian,24.48,1,0.0,139.37,100,12.24,21.25,264.68
car_petrol,49.01,51.89,vegetarian,7.56,0,308.75,42.55,100,3.78,0.0,482.13
car_electric,75.71,165.41,pescatarian,18.17,0,113.56,135.63,150,9.09,0.0,393.51
bus,40.14,158.2,meat_light,21.84,2,48.17,129.72,200,10.92,42.5,426.4
train,11.62,199.05,meat_light,12.69,6,10.46,163.22,200,6.35,127.5,495.3
walking,67.56,194.18,meat_light,14.9,3,0.0,159.23,200,7.45,63.75,427.0
train,15.73,109.3,meat_light,15.09,2,14.16,89.63,200,7.54,42.5,359.77
train,8.29,113.6,meat_heavy,19.8,6,7.46,93.15,300,9.9,127.5,530.0
car_petrol,4.65,220.03,meat_heavy,32.71,0,29.31,180.43,300,16.35,0.0,548.28
train,9.75,80.54,meat_light,21.19,3,8.77,66.04,200,10.6,63.75,344.75
cycle,22.31,170.51,meat_light,9.61,0,0.0,139.81,200,4.81,0.0,323.65
motorcycle,1.89,139.03,pescatarian,13.02,3,6.23,114.01,150,6.51,63.75,333.73
train,18.89,87.86,meat_heavy,27.05,1,17.0,72.05,300,13.52,21.25,446.29
car_electric,2.64,66.79,meat_light,19.11,4,3.96,54.77,200,9.55,85.0,351.27
cycle,17.72,196.44,meat_heavy,19.94,2,0.0,161.08,300,9.97,42.5,496.81
bus,6.34,102.33,meat_heavy,1.0,3,7.6,83.91,300,0.5,63.75,449.54
car_petrol,49.47,175.34,vegan,10.97,0,311.67,143.78,50,5.49,0.0,550.66
car_petrol,13.78,185.67,meat_heavy,17.74,0,86.8,152.25,300,8.87,0.0,511.2
bus,10.25,143.87,vegetarian,20.3,2,12.3,117.98,100,10.15,42.5,269.91
cycle,1.51,255.07,vegetarian,15.38,1,0.0,209.16,100,7.69,21.25,350.33
car_diesel,44.14,54.14,meat_light,31.92,1,225.1,44.4,200,15.96,21.25,479.59
motorcycle,10.52,235.62,meat_light,15.67,4,34.71,193.21,200,7.83,85.0,503.56
motorcycle,38.66,272.13,vegan,35.94,0,127.57,223.15,50,17.97,0.0,403.32
walking,9.22,170.45,pescatarian,25.95,1,0.0,139.77,150,12.97,21.25,341.65
cycle,4.37,74.23,vegan,10.16,1,0.0,60.87,50,5.08,21.25,144.99
car_electric,33.68,64.98,vegetarian,31.64,2,50.52,53.28,100,15.82,42.5,276.99
train,0.45,241.94,vegetarian,23.36,3,0.41,198.39,100,11.68,63.75,377.55
train,88.86,133.45,meat_heavy,12.29,3,79.97,109.43,300,6.14,63.75,559.86
bus,30.79,145.01,meat_light,31.02,1,36.95,118.91,200,15.51,21.25,393.19
walking,19.86,200.0,meat_light,24.79,1,0.0,164.0,200,12.39,21.25,401.76
cycle,43.1,58.61,meat_heavy,15.75,1,0.0,48.06,300,7.87,21.25,395.79
car_diesel,0.1,93.25,meat_heavy,19.91,0,0.5,76.47,300,9.96,0.0,383.44
car_petrol,8.44,119.04,meat_light,23.33,3,53.2,97.61,200,11.67,63.75,438.5
cycle,2.88,176.64,meat_light,17.76,1,0.0,144.84,200,8.88,21.25,384.8
motorcycle,1.14,190.26,meat_light,28.54,3,3.76,156.01,200,14.27,63.75,426.32
car_diesel,51.55,154.36,vegetarian,31.52,0,262.9,126.57,100,15.76,0.0,517.86
car_electric,45.27,225.46,pescatarian,15.73,0,67.9,184.87,150,7.87,0.0,379.99
car_electric,58.47,105.94,meat_heavy,14.78,0,87.71,86.87,300,7.39,0.0,504.01
car_electric,0.96,47.45,vegan,23.13,0,1.43,38.91,50,11.57,0.0,95.64
car_petrol,35.74,21.66,meat_light,18.43,3,225.14,17.76,200,9.21,63.75,549.77
train,54.0,89.49,meat_light,7.76,1,48.6,73.39,200,3.88,21.25,346.1
motorcycle,107.04,134.52,meat_light,30.2,0,353.24,110.3,200,15.1,0.0,635.22
car_electric,12.89,213.15,vegan,5.26,0,19.34,174.79,50,2.63,0.0,262.14
bus,75.04,196.33,meat_heavy,16.53,1,90.04,160.99,300,8.27,21.25,607.97
train,10.98,222.39,meat_light,22.15,0,9.88,182.36,200,11.08,0.0,392.78
car_petrol,6.63,107.92,meat_light,11.74,1,41.77,88.49,200,5.87,21.25,341.28
car_petrol,6.76,43.92,meat_heavy,20.16,1,42.56,36.01,300,10.08,21.25,380.97
train,9.97,72.37,meat_light,27.21,2,8.97,59.34,200,13.6,42.5,346.64
car_diesel,10.19,196.92,meat_heavy,19.48,0,51.99,161.47,300,9.74,0.0,492.39
motorcycle,2.82,93.56,meat_light,16.7,4,9.3,76.72,200,8.35,85.0,409.52
car_electric,22.85,101.61,vegetarian,33.42,1,34.27,83.32,100,16.71,21.25,238.21
train,7.28,106.15,meat_heavy,17.09,1,6.56,87.04,300,8.54,21.25,428.28
bus,13.21,186.66,vegetarian,13.87,0,15.85,153.06,100,6.93,0.0,285.13
car_diesel,9.16,10.0,meat_light,9.61,1,46.72,8.2,200,4.81,21.25,287.46
train,8.65,110.91,pescatarian,5.07,6,7.79,90.95,150,2.53,127.5,397.8
car_petrol,0.14,155.23,meat_heavy,11.94,2,0.88,127.29,300,5.97,42.5,454.95
car_electric,17.73,175.7,meat_heavy,23.13,1,26.59,144.07,300,11.57,21.25,519.13
car_petrol,20.83,124.59,meat_light,7.53,0,131.21,102.16,200,3.76,0.0,405.81
car_petrol,0.56,104.41,meat_heavy,14.32,0,3.53,85.62,300,7.16,0.0,372.68
bus,48.79,79.2,meat_light,28.24,2,58.55,64.94,200,14.12,42.5,393.99
bus,51.16,163.21,meat_light,28.26,1,61.39,133.83,200,14.13,21.25,452.53
car_petrol,120.7,142.47,meat_heavy,9.3,0,760.4,116.83,300,4.65,0.0,1177.49
car_petrol,12.57,122.17,pescatarian,11.21,6,79.17,100.18,150,5.61,127.5,499.07
car_petrol,32.36,120.85,meat_light,14.93,1,203.89,99.1,200,7.47,21.25,508.02
train,9.26,163.52,meat_light,24.85,2,8.33,134.08,200,12.43,42.5,417.56
car_diesel,10.38,146.55,meat_heavy,15.41,2,52.92,120.17,300,7.71,42.5,558.42
bus,2.64,233.81,vegetarian,23.56,0,3.16,191.72,100,11.78,0.0,282.73
bus,54.45,115.71,meat_heavy,27.73,0,65.34,94.88,300,13.86,0.0,503.62
cycle,35.44,89.57,meat_light,21.35,0,0.0,73.45,200,10.67,0.0,297.4
train,60.37,152.74,meat_light,18.64,6,54.33,125.24,200,9.32,127.5,507.97
car_electric,24.48,130.62,meat_light,30.68,3,36.72,107.1,200,15.34,63.75,422.29
car_diesel,4.65,132.4,vegetarian,16.44,1,23.71,108.57,100,8.22,21.25,257.48
bus,1.43,149.87,pescatarian,11.46,0,1.72,122.89,150,5.73,0.0,260.92
cycle,29.43,251.2,meat_heavy,14.48,2,0.0,205.98,300,7.24,42.5,553.76
motorcycle,0.28,160.2,vegetarian,25.61,3,0.91,131.36,100,12.81,63.75,329.34
walking,51.8,170.27,vegetarian,22.86,0,0.0,139.62,100,11.43,0.0,270.31
car_diesel,51.18,54.77,meat_light,18.34,1,261.01,44.91,200,9.17,21.25,500.08
car_petrol,12.28,181.92,meat_light,15.42,0,77.35,149.17,200,7.71,0.0,433.14
car_petrol,3.45,183.52,meat_heavy,16.76,2,21.74,150.49,300,8.38,42.5,509.22
car_diesel,19.92,202.98,meat_heavy,24.13,2,101.57,166.44,300,12.07,42.5,667.81
bus,61.28,91.32,meat_light,15.1,1,73.54,74.89,200,7.55,21.25,400.02
car_petrol,7.45,127.84,pescatarian,21.84,0,46.94,104.83,150,10.92,0.0,318.82
car_petrol,49.26,199.61,meat_light,19.17,0,310.34,163.68,200,9.58,0.0,644.43
car_petrol,18.99,135.58,meat_light,13.02,0,119.64,111.17,200,6.51,0.0,414.6
train,73.34,127.1,meat_heavy,25.92,0,66.0,104.22,300,12.96,0.0,495.12
car_petrol,6.94,159.67,meat_heavy,32.3,1,43.71,130.93,300,16.15,21.25,542.33
motorcycle,96.88,144.23,meat_heavy,22.07,3,319.7,118.27,300,11.04,63.75,775.13
bus,1.89,128.65,vegan,22.94,1,2.26,105.49,50,11.47,21.25,192.83
cycle,91.48,108.91,meat_light,19.25,1,0.0,89.31,200,9.62,21.25,317.51
car_diesel,17.45,221.83,meat_light,13.99,3,88.99,181.9,200,6.99,63.75,545.4
car_diesel,47.61,65.46,meat_light,22.2,0,242.81,53.68,200,11.1,0.0,535.56
motorcycle,32.41,137.32,meat_heavy,13.42,2,106.94,112.6,300,6.71,42.5,537.81
car_diesel,10.01,224.57,meat_light,25.82,1,51.03,184.15,200,12.91,21.25,492.67
motorcycle,3.31,185.68,meat_heavy,20.68,1,10.91,152.26,300,10.34,21.25,506.38
walking,13.98,125.78,meat_light,26.63,1,0.0,103.14,200,13.32,21.25,318.74
walking,12.95,137.68,meat_light,21.98,0,0.0,112.9,200,10.99,0.0,337.58
bus,24.56,137.96,meat_light,16.76,1,29.47,113.13,200,8.38,21.25,378.91
bus,7.97,116.13,meat_heavy,16.82,1,9.57,95.23,300,8.41,21.25,412.66
car_petrol,51.6,198.56,meat_light,29.86,0,325.06,162.82,200,14.93,0.0,756.71
train,8.98,177.1,vegetarian,24.85,1,8.08,145.22,100,12.43,21.25,272.56
car_petrol,32.07,196.99,meat_heavy,15.45,0,202.05,161.53,300,7.72,0.0,668.41
cycle,38.89,107.02,meat_light,29.87,1,0.0,87.76,200,14.93,21.25,348.5
car_electric,64.15,124.17,meat_light,36.07,0,96.22,101.82,200,18.03,0.0,401.04
car_petrol,3.03,223.29,meat_light,14.34,0,19.07,183.09,200,7.17,0.0,432.4
bus,81.01,90.81,meat_light,24.13,1,97.21,74.47,200,12.07,21.25,374.43
car_petrol,3.46,123.37,meat_light,7.48,0,21.83,101.16,200,3.74,0.0,335.8
bus,8.72,85.08,pescatarian,17.29,1,10.46,69.76,150,8.65,21.25,262.09
car_diesel,10.53,210.39,meat_heavy,22.54,1,53.72,172.52,300,11.27,21.25,546.45
car_electric,52.89,225.14,vegan,29.09,1,79.33,184.62,50,14.55,21.25,348.89
car_petrol,8.14,157.46,meat_light,27.77,0,51.29,129.12,200,13.88,0.0,407.79
train,23.8,10.0,meat_light,23.47,0,21.42,8.2,200,11.74,0.0,258.4
bus,9.32,231.92,vegetarian,18.2,0,11.18,190.18,100,9.1,0.0,319.38
car_diesel,39.32,171.75,vegan,15.92,0,200.51,140.83,50,7.96,0.0,424.75
bus,10.84,185.27,meat_light,9.24,6,13.01,151.92,200,4.62,127.5,535.48
bus,14.62,270.27,vegetarian,19.22,0,17.55,221.62,100,9.61,0.0,325.08
car_petrol,5.45,239.81,meat_light,19.38,0,34.33,196.64,200,9.69,0.0,411.21
bus,7.91,165.87,vegetarian,20.51,0,9.49,136.01,100,10.25,0.0,254.66
walking,36.94,132.26,meat_heavy,25.67,0,0.0,108.45,300,12.83,0.0,391.15
cycle,65.52,217.41,meat_heavy,25.42,1,0.0,178.27,300,12.71,21.25,536.61
bus,9.44,230.99,meat_heavy,39.69,6,11.33,189.41,300,19.85,127.5,638.86
train,2.63,114.49,vegan,30.19,0,2.36,93.88,50,15.1,0.0,164.2
car_petrol,64.44,89.85,pescatarian,29.76,2,405.95,73.67,150,14.88,42.5,698.16
bus,12.32,167.03,vegetarian,19.94,1,14.79,136.97,100,9.97,21.25,273.55
train,36.1,122.01,vegan,18.15,1,32.49,100.05,50,9.07,21.25,209.81
walking,15.86,179.08,meat_light,17.59,1,0.0,146.85,200,8.79,21.25,352.51
car_electric,72.16,44.71,meat_light,28.08,3,108.24,36.66,200,14.04,63.75,407.41
bus,79.67,182.55,meat_light,13.53,2,95.6,149.69,200,6.76,42.5,482.78
car_diesel,28.82,126.35,vegetarian,8.84,0,146.97,103.61,100,4.42,0.0,381.69
motorcycle,87.13,165.53,vegetarian,11.47,2,287.52,135.74,100,5.74,42.5,597.44
car_petrol,60.78,177.27,meat_heavy,10.17,3,382.91,145.36,300,5.09,63.75,962.64
car_electric,2.79,150.13,meat_heavy,9.0,0,4.18,123.11,300,4.5,0.0,442.83
car_electric,10.43,124.78,meat_heavy,36.5,0,15.65,102.32,300,18.25,0.0,456.46
car_petrol,5.39,205.38,vegetarian,23.25,0,33.98,168.41,100,11.62,0.0,315.88
car_diesel,41.67,118.51,meat_light,23.24,2,212.52,97.18,200,11.62,42.5,549.15
bus,1.29,85.46,meat_heavy,22.69,0,1.55,70.08,300,11.35,0.0,369.58
cycle,1.29,51.41,vegetarian,9.54,3,0.0,42.15,100,4.77,63.75,219.14
car_petrol,31.35,205.98,pescatarian,20.51,1,197.53,168.91,150,10.25,21.25,548.01
motorcycle,15.22,189.24,meat_light,13.98,4,50.24,155.18,200,6.99,85.0,478.37
train,70.64,200.22,meat_heavy,22.95,0,63.57,164.18,300,11.47,0.0,547.86
car_petrol,19.17,195.46,meat_light,13.3,1,120.78,160.27,200,6.65,21.25,490.12
walking,1.86,199.36,vegetarian,22.68,4,0.0,163.48,100,11.34,85.0,339.25
car_petrol,2.98,235.62,pescatarian,22.97,4,18.75,193.21,150,11.49,85.0,453.63
car_petrol,15.68,206.03,meat_light,24.03,1,98.8,168.94,200,12.01,21.25,482.36
bus,106.67,54.67,meat_heavy,23.19,1,128.0,44.83,300,11.6,21.25,492.06
car_petrol,7.01,173.11,meat_heavy,28.97,0,44.15,141.95,300,14.48,0.0,470.24
car_petrol,17.72,193.81,meat_heavy,17.03,0,111.67,158.93,300,8.51,0.0,608.47
car_diesel,4.05,139.43,meat_light,7.73,0,20.67,114.33,200,3.86,0.0,321.1
train,115.41,106.67,vegetarian,27.86,0,103.86,87.47,100,13.93,0.0,287.52
bus,23.25,211.49,vegetarian,29.35,0,27.9,173.42,100,14.67,0.0,325.17
car_electric,5.98,65.09,vegetarian,13.76,3,8.96,53.37,100,6.88,63.75,246.13
car_diesel,1.67,100.31,pescatarian,25.49,0,8.54,82.25,150,12.74,0.0,242.43
train,40.79,112.99,vegetarian,11.19,0,36.71,92.65,100,5.6,0.0,253.46
bus,19.53,186.32,meat_heavy,23.78,0,23.43,152.79,300,11.89,0.0,463.65
bus,11.78,125.79,meat_heavy,26.58,0,14.14,103.15,300,13.29,0.0,431.7
train,14.17,169.13,meat_light,19.83,1,12.75,138.69,200,9.92,21.25,355.33
cycle,26.12,136.29,meat_light,19.64,0,0.0,111.75,200,9.82,0.0,295.91
bus,5.24,182.67,vegan,11.24,0,6.29,149.79,50,5.62,0.0,199.82
bus,27.1,92.58,vegetarian,26.92,0,32.52,75.91,100,13.46,0.0,219.27
walking,6.14,123.39,meat_light,17.84,2,0.0,101.18,200,8.92,42.5,360.67
cycle,16.66,125.31,meat_light,14.29,1,0.0,102.75,200,7.14,21.25,332.79
train,25.36,163.1,meat_heavy,27.74,0,22.82,133.74,300,13.87,0.0,483.85
cycle,12.18,193.44,vegan,27.19,1,0.0,158.62,50,13.6,21.25,229.06
walking,41.7,46.86,vegan,28.38,1,0.0,38.43,50,14.19,21.25,121.64
car_petrol,40.48,159.84,meat_heavy,22.12,0,255.01,131.07,300,11.06,0.0,670.77
car_diesel,36.21,153.59,meat_heavy,20.99,1,184.68,125.95,300,10.5,21.25,630.82
motorcycle,1.96,254.81,meat_light,3.52,0,6.46,208.94,200,1.76,0.0,415.55
motorcycle,12.29,138.12,meat_light,30.41,3,40.57,113.25,200,15.2,63.75,458.13
cycle,7.87,178.29,meat_light,17.96,0,0.0,146.2,200,8.98,0.0,334.46
car_petrol,24.88,189.04,meat_heavy,23.41,0,156.77,155.01,300,11.7,0.0,604.51
car_diesel,11.11,158.84,meat_light,26.51,1,56.66,130.25,200,13.26,21.25,389.65
car_petrol,19.3,95.24,meat_light,25.61,2,121.59,78.1,200,12.81,42.5,448.59
train,12.94,216.75,meat_heavy,26.01,0,11.65,177.74,300,13.01,0.0,495.24
car_petrol,5.71,181.56,pescatarian,21.95,0,35.95,148.88,150,10.98,0.0,333.91
motorcycle,8.59,196.39,vegan,13.02,1,28.33,161.04,50,6.51,21.25,279.69
car_diesel,23.11,221.65,meat_light,30.41,0,117.88,181.76,200,15.2,0.0,542.51
train,9.69,160.43,vegan,13.19,0,8.72,131.55,50,6.6,0.0,204.84
car_diesel,36.02,99.14,meat_light,26.55,2,183.73,81.3,200,13.27,42.5,512.25
car_diesel,18.42,163.02,vegetarian,25.24,2,93.92,133.67,100,12.62,42.5,378.25
bus,33.11,231.66,meat_light,20.52,1,39.73,189.96,200,10.26,21.25,435.44
cycle,68.68,147.8,vegetarian,10.96,2,0.0,121.2,100,5.48,42.5,278.72
car_petrol,52.39,180.26,meat_light,15.67,0,330.09,147.81,200,7.83,0.0,648.24
car_petrol,27.11,88.07,vegetarian,21.1,0,170.79,72.21,100,10.55,0.0,367.35
train,1.51,100.3,meat_heavy,20.96,3,1.35,82.25,300,10.48,63.75,472.35
walking,41.71,165.71,pescatarian,29.87,0,0.0,135.88,150,14.94,0.0,292.5
bus,4.74,136.65,vegetarian,6.54,1,5.69,112.05,100,3.27,21.25,258.66
train,27.45,126.86,vegetarian,41.17,3,24.7,104.03,100,20.59,63.75,300.47
car_petrol,34.66,123.55,vegan,11.07,0,218.35,101.31,50,5.53,0.0,355.57
car_petrol,26.73,125.8,meat_heavy,28.58,0,168.37,103.16,300,14.29,0.0,569.45
car_petrol,24.23,260.92,meat_heavy,9.54,1,152.63,213.95,300,4.77,21.25,706.74
walking,8.88,231.65,meat_light,12.96,0,0.0,189.95,200,6.48,0.0,388.57
motorcycle,13.59,143.18,meat_light,32.79,3,44.85,117.41,200,16.4,63.75,416.65
car_diesel,19.56,148.13,pescatarian,22.67,0,99.76,121.47,150,11.34,0.0,362.63
train,77.76,183.77,meat_heavy,19.14,1,69.98,150.7,300,9.57,21.25,566.85
motorcycle,20.45,158.9,vegan,17.33,2,67.49,130.3,50,8.66,42.5,314.5
car_diesel,9.78,300.19,vegetarian,16.13,1,49.86,246.16,100,8.06,21.25,411.57
car_petrol,0.06,157.49,meat_heavy,18.64,1,0.4,129.14,300,9.32,21.25,461.04
car_petrol,20.02,169.46,meat_heavy,11.71,0,126.13,138.96,300,5.85,0.0,595.11
car_petrol,11.77,131.79,vegetarian,13.59,0,74.15,108.07,100,6.8,0.0,285.21
car_diesel,26.72,139.28,vegetarian,26.02,0,136.29,114.21,100,13.01,0.0,384.1
bus,15.17,139.98,vegetarian,10.69,4,18.21,114.79,100,5.35,85.0,343.21
car_petrol,18.18,122.58,meat_heavy,8.73,1,114.51,100.52,300,4.37,21.25,526.3
car_diesel,40.28,115.26,vegetarian,38.06,0,205.41,94.51,100,19.03,0.0,449.78
bus,12.8,241.16,pescatarian,20.93,0,15.36,197.75,150,10.47,0.0,378.65
bus,31.18,132.2,vegan,27.04,4,37.42,108.41,50,13.52,85.0,291.28
bus,27.44,64.84,meat_heavy,21.79,2,32.93,53.17,300,10.9,42.5,443.21
motorcycle,3.02,135.39,pescatarian,14.95,4,9.98,111.02,150,7.47,85.0,379.97
bus,18.23,99.83,meat_light,17.87,3,21.87,81.86,200,8.94,63.75,399.74
car_petrol,54.35,237.28,meat_heavy,35.05,2,342.43,194.57,300,17.52,42.5,953.02
bus,85.78,149.96,pescatarian,29.57,1,102.93,122.97,150,14.79,21.25,382.67
bus,51.18,128.37,meat_heavy,8.77,1,61.41,105.26,300,4.39,21.25,481.16
motorcycle,18.32,221.25,meat_light,24.17,2,60.46,181.42,200,12.08,42.5,499.14
car_electric,26.82,177.6,vegan,33.8,0,40.23,145.63,50,16.9,0.0,244.08
car_diesel,27.98,96.37,meat_light,11.17,0,142.68,79.02,200,5.58,0.0,453.58
car_petrol,14.69,170.9,vegetarian,28.4,1,92.56,140.13,100,14.2,21.25,380.32
walking,55.91,121.29,vegan,24.13,0,0.0,99.46,50,12.06,0.0,159.61
train,24.48,151.2,meat_heavy,7.15,2,22.03,123.98,300,3.58,42.5,478.17
walking,30.83,181.68,vegetarian,13.85,1,0.0,148.98,100,6.93,21.25,259.12
walking,10.54,149.14,vegan,18.43,3,0.0,122.3,50,9.21,63.75,245.98
car_petrol,2.92,185.47,meat_light,18.75,3,18.4,152.08,200,9.37,63.75,434.13
car_petrol,91.55,165.84,meat_light,9.73,2,576.76,135.99,200,4.86,42.5,911.11
walking,25.45,158.24,meat_light,29.52,4,0.0,129.76,200,14.76,85.0,435.16
cycle,76.6,182.42,vegan,35.49,0,0.0,149.59,50,17.75,0.0,206.93
car_petrol,7.35,90.09,meat_light,8.86,0,46.31,73.87,200,4.43,0.0,300.85
bus,19.27,273.09,meat_heavy,13.18,1,23.12,223.94,300,6.59,21.25,587.88
walking,45.76,263.26,vegetarian,12.28,1,0.0,215.87,100,6.14,21.25,369.7
bus,65.65,117.93,meat_light,20.74,0,78.78,96.7,200,10.37,0.0,356.99
cycle,8.06,110.78,vegetarian,27.32,4,0.0,90.84,100,13.66,85.0,283.09
bus,23.54,199.89,meat_light,20.97,1,28.25,163.91,200,10.49,21.25,448.47
car_petrol,19.64,158.32,meat_heavy,23.98,2,123.76,129.82,300,11.99,42.5,641.09
walking,7.97,146.27,meat_light,9.73,0,0.0,119.94,200,4.86,0.0,299.03
car_electric,86.73,100.7,vegetarian,32.99,0,130.1,82.57,100,16.49,0.0,311.78
car_petrol,59.31,140.68,meat_light,16.75,0,373.65,115.36,200,8.38,0.0,675.23
car_diesel,37.21,203.27,pescatarian,31.19,3,189.77,166.68,150,15.59,63.75,629.8
car_petrol,6.31,96.5,meat_light,20.45,1,39.74,79.13,200,10.22,21.25,351.58
car_electric,19.55,128.33,vegan,20.98,1,29.32,105.23,50,10.49,21.25,202.62
car_petrol,4.7,255.48,vegetarian,24.49,2,29.63,209.5,100,12.24,42.5,373.86
bus,13.27,103.54,vegetarian,18.21,2,15.93,84.91,100,9.11,42.5,270.39
bus,31.46,102.55,vegan,26.99,0,37.75,84.09,50,13.49,0.0,180.91
car_diesel,1.61,139.69,meat_heavy,18.83,0,8.2,114.55,300,9.41,0.0,434.77
bus,19.6,132.33,vegan,14.79,0,23.52,108.51,50,7.39,0.0,179.99
bus,29.51,10.0,pescatarian,29.73,3,35.41,8.2,150,14.87,63.75,260.0
train,35.42,48.5,meat_light,14.61,0,31.88,39.77,200,7.3,0.0,258.68
car_petrol,5.18,221.9,vegetarian,20.11,4,32.63,181.96,100,10.06,85.0,439.47
walking,45.44,112.3,meat_light,18.4,1,0.0,92.09,200,9.2,21.25,340.6
walking,17.74,85.76,vegan,15.78,1,0.0,70.32,50,7.89,21.25,150.79
cycle,17.56,163.09,meat_heavy,25.67,0,0.0,133.73,300,12.84,0.0,471.96
bus,4.67,147.59,pescatarian,15.98,2,5.6,121.02,150,7.99,42.5,344.89
car_electric,13.92,141.45,vegetarian,27.39,1,20.88,115.99,100,13.7,21.25,281.21
car_petrol,7.88,144.78,meat_heavy,15.34,0,49.67,118.72,300,7.67,0.0,489.41
walking,6.76,213.29,meat_light,27.55,0,0.0,174.9,200,13.78,0.0,368.14
bus,16.53,124.21,pescatarian,33.42,0,19.83,101.85,150,16.71,0.0,275.08
car_diesel,2.49,132.3,vegetarian,19.22,2,12.7,108.49,100,9.61,42.5,265.67
bus,31.55,181.44,vegan,20.74,2,37.86,148.78,50,10.37,42.5,310.76
cycle,4.59,91.92,meat_light,15.91,2,0.0,75.38,200,7.95,42.5,316.29
bus,29.35,216.39,meat_heavy,18.03,0,35.22,177.44,300,9.02,0.0,531.79
car_diesel,20.38,53.67,vegetarian,14.12,1,103.96,44.01,100,7.06,21.25,259.23
bus,0.03,84.73,meat_heavy,14.53,2,0.04,69.48,300,7.26,42.5,409.19
car_petrol,18.18,161.21,meat_heavy,8.24,1,114.55,132.19,300,4.12,21.25,584.36
bus,65.52,151.35,pescatarian,26.11,1,78.63,124.11,150,13.06,21.25,367.63
bus,17.33,146.41,meat_light,19.37,3,20.8,120.06,200,9.69,63.75,418.7
train,10.35,56.39,meat_light,36.94,0,9.32,46.24,200,18.47,0.0,273.73
car_diesel,9.87,156.19,meat_heavy,4.24,1,50.34,128.08,300,2.12,21.25,521.37
cycle,9.28,52.62,meat_heavy,10.29,0,0.0,43.15,300,5.15,0.0,337.62
bus,20.84,237.74,vegetarian,1.34,1,25.0,194.95,100,0.67,21.25,341.97
cycle,7.56,171.26,vegan,27.23,2,0.0,140.43,50,13.61,42.5,228.22
walking,51.52,87.64,pescatarian,13.05,0,0.0,71.86,150,6.53,0.0,223.72
car_diesel,24.26,166.44,meat_heavy,17.87,1,123.75,136.48,300,8.94,21.25,623.74
car_diesel,0.44,103.15,meat_light,37.69,3,2.26,84.58,200,18.85,63.75,397.22
bus,36.1,121.23,meat_light,33.03,0,43.32,99.41,200,16.52,0.0,365.42
car_petrol,24.65,81.71,meat_heavy,14.25,0,155.29,67.0,300,7.13,0.0,502.02
bus,16.4,120.77,vegetarian,2.26,0,19.68,99.03,100,1.13,0.0,225.08
cycle,5.09,101.59,meat_heavy,19.38,3,0.0,83.31,300,9.69,63.75,475.36
walking,6.22,179.97,meat_heavy,27.08,2,0.0,147.58,300,13.54,42.5,491.25
train,7.61,106.62,meat_heavy,17.47,0,6.85,87.43,300,8.74,0.0,404.34
car_electric,80.43,218.08,meat_heavy,14.62,1,120.64,178.82,300,7.31,21.25,615.79
train,61.02,102.63,meat_heavy,25.9,0,54.91,84.15,300,12.95,0.0,457.53
cycle,5.22,177.43,meat_heavy,30.82,0,0.0,145.5,300,15.41,0.0,455.06
cycle,0.49,120.87,meat_heavy,11.12,2,0.0,99.12,300,5.56,42.5,452.98
bus,46.36,130.09,vegetarian,7.77,1,55.63,106.68,100,3.89,21.25,275.97
car_electric,15.93,108.9,meat_heavy,34.34,2,23.9,89.3,300,17.17,42.5,435.65
